Location,Coordinates,Code
Cartaxo,3909 N 00847 W,CTAXO
Carvalhal,3818 N 00844 W,CRVAL
Carvalhos,4103 N 00834 W,CARVL
Carvide,3951 N 00853 W,CARVI
Carvoeiro,3705 N 00828 W,CARVO
Casa Branca,3829 N 00809 W,CASAB
Cascais (Voos Locais),3842 N 00925 W,CCAIS
Cascais Ad,3843 N 00921 W,CASC
Castanheira De Pera,4000 N 00812 W,CPERA
Castelo Branco,3949 N 00729 W,CASTB
Castelo De Paiva,4102 N 00816 W,CPAIV
Castelo De Vide,3924 N 00727 W,CVIDE
Castro D’Aire,4053 N 00756 W,CAIRE
Castro Laboreiro,4201 N 00809 W,CLABO
Castro Verde,3741 N 00805 W,CVERD
Castro Vicente,4122 N 00650 W,CVICE
Celeiro,4134 N 00806 W,CLEIR
Celorico Da Beira,4038 N 00723 W,CEBEI
Celorico De Basto,4123 N 00800 W,CBAST
Cercal Do Alentejo,3748 N 00840 W,CCALJ
Cernache,4008 N 00828 W,CERNA
Cerva (Ribeira De Pena),4128 N 00750 W,CERVA
Chamusca,3921 N 00828 W,CHAMU
Chanca – Alter Do Chao,3914 N 00749 W,CHANC
Chancelaria,3933 N 00833 W,CCLAR
Chaves,4144 N 00728 W,CHAVE
Cinfaes,4104 N 00805 W,CINFA
Coimbra,4012 N 00824 W,COIMB
Coina,3835 N 00902 W,COINA
Colares,3848 N 00926 W,COLAR
Comporta,3825 N 00849 W,CPORT
Conceicao (Ourique),3746 N 00814 W,CONCE
Condeixa-A-Nova,4006 N 00829 W,CNOVA
Coruche,3857 N 00831 W,CORUC
Couco,3959 N 00817 W,COUCO
Cova Do Vapor,3839 N 00915 W,CVAPO
Covilhã,4016 N 00729 W,COVIL
Covoes,4025 N 00836 W,COVOE
Crato,3917 N 00738 W,CRATO
Cuba,3810 N 00753 W,CUBA
Doca Do Poco Do Bispo,3844 N 00906 W,DPBIS
Dois Portos,3902 N 00910 W,DPORT
Elvas,3852 N 00709 W,ELVAS
Entrocamento,3927 N 00828 W,ENTRO
Ericeira,3857 N 00925 W,ERICE
Ermesinde,4112 N 00832 W,ERMES
Ermidas Do Sado,3800 N 00824 W,ESADO
Ervedosa Do Douro,4109 N 00728 W,EDOSA
Ervidel,3757 N 00805 W,ERVID
Esmoriz,4057 N 00837 W,ESMOR
Espichel (Cabo),3825 N 00911 W,ESPIO
Espinho,4100 N 00838 W,ESPIN
Esposende,4132 N 00847 W,ESPOS
Estadio Nacional,3842 N 00915 W,ENACI
Estarreja,4045 N 00834 W,ESTAR
Estremoz,3850 N 00735 W,ESTOZ
Evora,3834 N 00754 W,EVORA
Fafe,4127 N 00810 W,FAFE
Famalicao,4122 N 00830 W,FAMAL
Faro,3701 N 00755 W,FARO
Fatima,3937 N 00840 W,FTIMA
Felgueiras,4121 N 00811 W,FELGR
Fermentelos (Pateira),4034 N 00831 W,FERNE
Ferragudo,3706 N 00830 W,FGUDO
Ferreira Do Alentejo,3803 N 00806 W,FERAL
Ferreira Do Zezere,3941 N 00817 W,FEZEZ
Ferreiras,3707 N 00814 W,FERRS
Figueira Da Foz,4008 N 00852 W,FGFOZ
Figueira De Castelo Rodrigo,4053 N 00657 W,FCRDG
Figueira De Cavaleiros Aerodromo,3804 N 00814 W,FIGCA
Figueiro Dos Vinhos,3954 N 00816 W,FVINH
Folgosa,4116 N 00832 W,FOLGS
Fonte Da Telha,3834 N 00911 W,FTELH
Fornos De Algodres,4037 N 00732 W,FADRS
Foros De Amora,3837 N 00907 W,FAMOR
Foros De Arrao,3910 N 00814 W,FOROS
Foz Do Arelho,3925 N 00914 W,FOZAR
Foz Do Douro,4108 N 00840 W,FOURO
Freamunde,4117 N 00820 W,FREAM
Freixeiro,4113 N 00841 W,FREXI
Freixial (Alcacer Do Sal),3825 N 00819 W,FXIAL
Freixianda,3945 N 00827 W,FRXDA
Freixo De Espada A Cinta,4105 N 00648 W,FREIX
Fronteira,3903 N 00738 W,FRONT
Fundao,4008 N 00730 W,FUNDA
Furadouro,4052 N 00840 W,FURAD
Fuzeta,3703 N 00744 W,FZETA
Gaia,4107 N 00836 W,GAIA
Galveias,3909 N 00759 W,GALVE
Gandara Dos Olivais,3946 N 00849 W,GVAIS
Garvão,3742 N 00820 W,GRVAO
Gois,4009 N 00806 W,GOIS
Gondifelos,4125 N 00835 W,GONDI
Gondomar,4108 N 00832 W,GONDO
Gouveia,4029 N 00735 W,GVEIA
Grandola,3810 N 00834 W,GDOLA
Guarda,4032 N 00716 W,GUARD
Guimaraes,4126 N 00817 W,GUIMA
Guincho,3843 N 00928 W,GUINC
Herdade Do Montinho,3818 N 00812 W,HMONT
Hospital De Gaia – Serra Do Pilar,4107 N 00836 W,HOGAI
Hospital S. Francisco Xavier – Lisboa,3842 N 00913 W,HOSFX
Hospital Santa Maria – Lisboa,3844 N 00909 W,HOSTM
Idanha-A-Nova,3955 N 00714 W,INOVA
Igreja Das Galinheiras,3847 N 00908 W,IGALI
Ilhavo,4035 N 00839 W,ILHAV
Lagoa,3708 N 00827 W,LAGOA
Lagoa De Albufeira,3830 N 00910 W,LALBF
Lagoa De S. Andre,3806 N 00847 W,LSTAN
Lagos,3705 N 00840 W,LAGOS
Lamarosa (Coruche),3904 N 00827 W,LROSA
Lamego,4106 N 00748 W,LAMEG
Lavadores,4107 N 00840 W,LAVAD
Lavra,4114 N 00843 W,LAVRA
Lavre,3846 N 00822 W,LAVRE
Leca Da Palmeira,4111 N 00842 W,LESSA
Leca Do Balio,4112 N 00838 W,LEBAL
Leiria,3944 N 00848 W,LEIRI
Undoso,4151 N 00811 W,LINDO
Lisboa Cidade,3843 N 00908 W,LSBOA
Lixa,4119 N 00808 W,LIXA
Longroiva,4057 N 00712 W,LONGR
Loriga,4019 N 00741 W,LORIG
Lourical,4000 N 00844 W,LOURI
Lourinha,3914 N 00918 W,LONHA
Lourosa,4059 N 00832 W,LORSA
Lousa,4006 N 00814 W,LOUSA
Lousada,4116 N 00817 W,LSADA
Luso,4023 N 00822 W,LUSO
Macedo De Cavaleiros,4132 N 00657 W,MACAV
Macieira De Cambra,4051 N 00822 W,MCAMB
Mafra,3856 N 00919 W,MAFRA
Mala,4114 N 00837 W,MAIA
Malveira,3855 N 00915 W,MALVE
Mangualde,4036 N 00745 W,MANGU
Manteigas,4024 N 00732 W,MTGAS
Marateca,3834 N 00840 W,MTECA
Marco De Canavezes,4111 N 00808 W,MARCO
Marinha Grande,3945 N 00855 W,MGRAN
Marmelete,3718 N 00840 W,MARME
Martinlongo,3726 N 00746 W,MLONG
Marvao,3923 N 00722 W,MARVA
Massarelos,4109 N 00837 W,MSRLS
Matosinhos,4110 N 00841 W,MATOS
Mealhada,4022 N 00827 W,MEALH
Meda,4057 N 00715 W,MEDA
Meimoa,4013 N 00711 W,MEIMO
Melgaco,4206 N 00815 W,MELGA
Melides,3808 N 00843 W,MELID
Mertola,3738 N 00739 W,MTOLA
Minas De Sao Domingos,3740 N 00729 W,MSDOM
Minde,3930 N 00841 W,MINDE
Mindelo,4118 N 00843 W,MDELO
Mira,4025 N 00844 W,MIRA
Mira De Aire,3932 N 00842 W,MAIRE
Miramar (Arcozelo),4104 N 00839 W,MIRAM
Miranda Do Corvo,4005 N 00819 W,MICOR
Miranda Do Douro,4129 N 00616 W,MIRAN
Mirandela,4129 N 00710 W,MDELA
Modivas (Vila Do Conde),4117 N 00841 W,MODIV
Mogadouro,4120 N 00642 W,MOGAD
Moimenta Da Beira,4058 N 00736 W,MOIME
Moncao,4204 N 00828 W,MONCA
Moncarapacho,3705 N 00747 W,MPACH
Monchique,3719 N 00833 W,MCHIQ
Mondim De Basto,4124 N 00757 W,MBAST
Monforte,3903 N 00726 W,MONFO
Monforte Da Beira,3944 N 00717 W,MONFB
Monsanto (Covilha),4002 N 00706 W,MONSA
Monsaraz,3826 N 00722 W,MSRAZ
Montalegre,4149 N 00747 W,MONTA
Montargil,3904 N 00810 W,ARGIL
Monte Da Virgem – Gaia,4106 N 00835 W,MVIRG
Monte Gordo,3710 N 00727 W,MGORD
Monte Real (Povoacao),3951 N 00851 W,MREAL
Montechoro,3705 N 00813 W,MCHOR
Montelavar,3851 N 00919 W,MLVAR
Montemor-O-Novo,3838 N 00812 W,MNOVO
Montemor-O-Velho,4010 N 00841 W,MTVEL
Mora,3856 N 00809 W,MORA
Moreira (Maia),4114 N 00838 W,MOREI
Mortagua,4023 N 00813 W,MORTA
Moura,3808 N 00726 W,MOURA
Mourao,3823 N 00720 W,MORAO
Murtosa,4044 N 00838 W,MURTS
Nazare,3935 N 00904 W,NZARE
Nelas,4032 N 00751 W,NELAS
Nisa,3931 N 00738 W,NISA
Nogueira,4014 N 00835 W,NEIRA
Nossa Senhora Machete,3834 N 00841 W,NSMAC
Obidos,3921 N 00909 W,OBIDO
Odeceixe,3725 N 00846 W,ODCXE
Odeleite,3720 N 00729 W,ODLTE
Odemira,3735 N 00838 W,OMIRA
Odiaxere,3708 N 00839 W,ODIAX
Odivelas,3848 N 00910 W,ODIVL
Oeiras,3841 N 00918 W,OEIRA
Oleiros,3955 N 00754 W,OLEIR
Olhao,3701 N 00750 W,OLHAO
Oliveira De Azemeis,4050 N 00828 W,OLIAZ
Oliveira De Frades,4043 N 00810 W,OFRAD
Oliveira Do Bairro,4030 N 00829 W,OLIBA
Oliveira Do Hospital,4021 N 00751 W,OLIVH
Ourem,3939 N 00834 W,OUREM
Ourique,3739 N 00813 W,ORQUE
Ovar (Povoacao),4051 N 00837 W,OVAR
Paco De Arcos,3841 N 00917 W,PARCO
Pacos De Ferreira,4116 N 00822 W,PFERR
Paião,4004 N 00848 W,PAIAO
Palhaca,4031 N 00836 W,PALHA
Palmeirinha (Aljezur),3718 N 00851 W,PLMEI
Palmela,3834 N 00853 W,PALME
Pampilhosa,4020 N 00825 W,PAMPI
Parada (Guarda),4032 N 00702 W,PARAD
Parada De Ester,4055 N 00803 W,PESTR
Paredes,4112 N 00820 W,PARED
Paredes De Coura,4154 N 00833 W,PCOUR
Parque Das Nacoes,3846 N 00905 W,PNACO
Passos (Chaves),4153 N 00709 W,PASSO
Pavia,3853 N 00801 W,PAVIA
Pechao,3703 N 00751 W,PECHA
Pegoes,3840 N 00836 W,PGOES
Penacova,4016 N 00816 W,PCOVA
Penafiel,4112 N 00817 W,PFIEL
Penamancor,4010 N 00710 W,PACOR
Penedono,4059 N 00723 W,PDONO
Penela,4001 N 00823 W,PNELA
Peniche,3921 N 00921 W,PICHE
Pereira (Montemor O Velho),4011 N 00834 W,PEREI
Pias,3801 N 00728 W,PIAS
Picote,4124 N 00621 W,PICOT
Pinhal Novo,3838 N 00854 W,PNOVA
Pinhao,4111 N 00732 W,PINHA
Pinheiro Da Bemposta,4047 N 00829 W,PBEMP
Pinhel,4046 N 00704 W,PNHEL
Poceirao,3838 N 00844 W,PORAO
Pomarao,3733 N 00731 W,POMAR
Pombal,3954 N 00837 W,POMBL
Ponte 25 Abril,3841 N 00910 W,P25AB
Ponte Da Barca,4148 N 00824 W,PARCA
Ponte De Lima,4145 N 00834 W,PLIMA
Ponte De Sor,3914 N 00800 W,PTSOR
Ponte Do Freixo (Porto),4108 N 00834 W,FREXO
Ponte Vasco Da Gama,3847 N 00905 W,PGAMA
Portalegre,3917 N 00725 W,PLGRE
Portel,3818 N 00742 W,PRTEL
Portimao Ad,3708 N 00832 W,PTMAO
Porto (Cidade),4109 N 00836 W,PORTO
Porto Covo,3751 N 00847 W,PCOVO
Porto Das Barcas,3733 N 00847 W,PBARC
Porto De Leixoes,4111 N 00842 W,PORLX
Porto De Mos,3936 N 00849 W,PMOS
Povoa Do Lanhoso,4134 N 00816 W,PLANH
Povoa Do Varzim,4122 N 00845 W,PVARZ
Praia Da Falesia,3705 N 00811 W,PFALE
Praia Da Luz,3705 N 00843 W,PLUZ
Praia Da Oura,3705 N 00813 W,POURA
Praia Da Rocha,3707 N 00832 W,PROCH
Praia Das Macas,3849 N 00928 W,PMACA
Praia De Faro,3700 N 00759 W,PFARO
Praia Dos Arrifes,3704 N 00816 W,PARRI
Praia Grande,3848 N 00928 W,PGRAN
Praia Olhos Agua (Algarve),3705 N 00811 W,PAGUA
Praia Verde,3710 N 00728 W,PVERD
Proenca-A-Nova,3945 N 00755 W,PNOVA
Quarteira,3704 N 00806 W,QUART
Queira,4041 N 00803 W,QUEIR
Quelfes,3703 N 00749 W,QUELF
Queluz,3845 N 00915 W,QUELZ
Quiaios,4012 N 00850 W,QUIAI
Ralis,3846 N 00907 W,RALIS
Raposa,3906 N 00834 W,RPOSA
Rates,4125 N 00840 W,RATES
Rebordelo,4144 N 00709 W,REBOR
Redondo,3838 N 00732 W,RDOND
Regua,4109 N 00747 W,REGUA
Reguengos De Monsaraz,3825 N 00732 W,RGRAZ
Resende,4106 N 00757 W,RESEN
Riba DAve,4123 N 00823 W,RIBAV
Ribeira De Pena,4131 N 00747 W,RPENA
Rio Maior,3920 N 00856 W,RIMOR
Rio Mau,4124 N 00841 W,RIMAU
Rosmaninhal,3943 N 00705 W,ROSMA
S. Bartolomeu,3922 N 00756 W,SBART
S. Bartolomeu De Messines,3715 N 00817 W,SBMES
S. Bras De Alportel,3709 N 00753 W,SBRAS
S. Cosmado,4103 N 00738 W,SCOSM
S. Cristovao,3829 N 00818 W,SCRIS
S. Geraldo,3845 N 00811 W,SGERA
S. Jacinto,4039 N 00843 W,SJACI
S. Joao Da Madeira,4053 N 00829 W,SJMAD
S. Joao Da Venda,3704 N 00758 W,SJVEN
S. Mancos,3827 N 00744 W,SNCOS
S. Marcos Da Serra,3721 N 00822 W,SMRRA
S. Martinho Da Cortica,4016 N 00809 W,SMCOR
S. Martinho Do Porto,3930 N 00908 W,SMPOR
S. Miguel De Machede,3838 N 00743 W,SMEDE
S. Pedro De Moel,3945 N 00901 W,SMOEL
S. Pedro Do Sul,4045 N 00803 W,SPSUL
S. Romao Do Coronado,4116 N 00833 W,SRCOR
S. Teotonio,3730 N 00842 W,STEOT
S. Vicente Da Beira,4002 N 00733 W,SVBRA
S.João Da Pesqueira,4108 N 00724 W,SJPES
Sabrosa,4115 N 00734 W,SBROS
Sabugal,4021 N 00705 W,SABUG
Sado (Rio),3821 N 00830 W,SADO
